id,获赞数,评论数,分享数,上架时间,title,字幕
91,48000,2035,7377,2020-02-06 18:37:40,"《左耳》,沉默不是妥协","有人说,我们平时在听到别人说,我没事”的肘候,总是不以为然,直到有一天,自己亲口说出那句“我没事”时,才明白那一瞬间,是最糟糕的时候,《左耳》这本书中有一句话,没有人见过深海鱼的眼泪,就以为它不会悲伤,那是因为它生活在深深的海底,我们总是把难过燕在心底,哪怕在生活中受尽委屈,也选择用沉默来代替哭声,因为我们明白,成年人的难过无法分享,长大后已经没有了,可以躲雨的地方,我们必须成为那把,为旬己遮风挡雨的伞,所以我们的沉默,不是向生活妥协,而是在默默积蓄力量,为了成为更好的自己,0K我是 Caroline,陪你读人生"
90,59000,2698,8419,2020-02-03 18:07:55,"《日落肘分的部落》,生活的暴击是否值得威激","有人说,我们要感激生活的暴击,因为它让我们变成了更好的自己,的确,品尝过苦涩的我们,是会在一瞬间成长的,但有些记忆,终究是在心底留下了抹不去的伤痕,遭受过背叛的爱人,可能再也不敢轻易相信承诺,而经历过嘲笑的朋友,再也不敢轻易故开心扉,海子在《日落肘分的部落》中,有这样一句话,躲避灾难,或迎看灾难走去,人生总有苦难,我们永远无法预测,下一秒是苦还是甜,但是生活的暴击,是一炀从外而来的无妄之灾,将一切吹得七零八落,鸡蛋的破裂,从外打破的是食物,而从内打破的,才是成长,所以生活的暴击,我并不威激,我只感激那个,在暴击里活下来的自己,0K我是 Caroline,陪你读人生"
89,104000,4127,9330,2020-02-01 18:08:35,"《自卑与超越》,讨厌自己的那一瞬间","你会有那么一瞬间,很讨厌自己吗,明明想好了不熬夜,但又刷抖音刷到两点,说好了要背单词,坚持两周就又放弃了,明明想拒绝朋友不合理的请求,却始终没有勇气说不,《自卑与超越》里说,我们每个人都有,不同程度的自卑感,因为我们都想让旬己更优秀,让自己过更好的生活,所以那些讨厌旬己的瞬间,正是我们想要,改变自己的开始,其实每个人,都有好的一面和不好的一面,世界上没有完美的生活,自然也不会有完美的人,周七天都会有双休,偶尔的懶惰和拖延,就当给自已放个假吧,其实真正爱你的人,不会因为这些不完美,而不喜欢你,因为他相信,同样真正爱他的你,会慢慢改变这些缺点,所以这偶尔讨厌的一瞬间,又何必放在心上呢,0K我是 Caroline,陪你读人生"
88,8228,258,62,2020-01-29 22:24:42,"武汉加油!,掌阅科技捐赠200万元,紧急驰援疫情一线!,其中:,向湖北省人民医院捐款100万元,,向武汉大学中南医院捐款100万元。,同时为武汉读者兔费提供100万份,掌间APPⅥP月卡,价值1800万。,众志成城,共克时艰,掌阅科技",2020年1月29日
87,80000,3585,14000,2020-01-27 18:54:36,"《爱你就像爱生命》,爱就是心甘情愿","我有一个朋友,是个十足的“妻笞严,工资发下来马上就上交,回家还要被查手机的记录,出差呢,还要拍个视频证明,我们都问他,你这样怎么忍得了,他说因为我爱人很胆小,总担心我走丢啊,《爱你就像爱生命》中写道,你想知道我对你的爱情是什么吗,就是从心底里喜欢你,觉得你就是一切,或许真心爱一个人,就是这样吧,你已经接受了,我所有的不完美,我又怎么能让你,心存焦虑和不安呢,那些生活里的事无巨细,只不过是我,想在这份威情中,给你再多一些安全威,尽管在别人看起来,这可能是一种束缚,但在我看来,这只是爱上一个人后的心甘情愿,因为比起自由,你和我的未来更加重要,0K我是 Caroline,陪你读人生"
86,61000,2415,7443,2020-01-27 18:51:28,"《小王子》,每个人都是自己的星星,乡的","女孩和闺蜜逛街的肘候,偶遇了前男友,她跟闺蜜说,他现在怎么这么丑啊,我记得他之前挺帅的,闺蜜听完哈哈大笑,他哪里有帅过,只不过是因为你爱过,《小王子》中有这样一句话,每个人都是自己的星星,但却因人而异,地球上的人类多如繁星,而我们喜欢的那个人,是其中最闪耀的那一颗,但有一天,他的星光会突然黯淡,我们努力的回想,他满身是光的样子,却最后发现,是我们目不转睛的注视,才让他成为了我们眼中,最闪耀的那颗星,所以我们心中所爱,能够一笑倾城,不过是因为爱,让他成为了那束独一无二的玫瑰,其实每个人都是自已的星星,如果像爱别人一样爱自己,我们也会成为夜空中,0K我是 Caroline,陪你读人生"
85,54000,1995,6711,2020-01-22 18:46:17,2019关于生活的感悟,"不知不觉就要过年了,总结了关于生活的几点小威悟,希望可以能帮到您,工作的每个选择,不仅要看收益,更要记得已经付出的成本,因为不是所有付出都会有回报,这一生难免会遇见几个,不靠谱的朋友,也可能经历一段,糟糕的爱情,但是不能因此而放纵自己,去过一个烂透的人生,绝大多数事做过了,就不那么怕了,做之前的焦虑远比,做完后的结果更煎熬,生活其实是按照,自己身体的意愿去行事,生活不是我们活过的日子,而是我们记住的日子,我们为了讲述,而在回忆中重现的日子,所以生命中真正重要的,不是我们遭遇了什么,而是我们记住了什么,0K我是 Caroline,陪你读人生"
84,45000,1854,4883,2020-01-22 18:45:31,"※,會2020新年快乐,海内存知己",
83,270000,16000,27000,2020-01-21 13:55:03,"生性凉薄的人是什么样,囱的求0,能","你身边有没有这样的人,友善的对待每一个人,却又保持着距离,几乎不会主动帮助别人,但更不喜欢欠别人的,身边可能热热闹闹,但内心却冷冷清清,这一部分人有一个统称,那就是“生性凉薄,有一句话是这样说的,越得不到什么,越假装不在乎什么,其实生性薄凉,不过是因为不曾得到,所以只敢躲藏在,最安全的距离里,用最不在乎伪装看内心的渴望,不敢再奢求接纳,可能每个人生下来,都是会发光的恒星,而失望的多了,才变成了没有温度的行星,所以疏离的看看这个世界,本没有错,和自已相处,才是这一辈子最先要做好的事,所以就行走在,属于你自己的轨道上吧,0K我是 Caroline,陪你读人生"
82,38000,1704,6338,2020-01-20 18:45:55,"《单独中的洞见》,结婚要找到对的人,:…","春节马上就要来了,又到了被七大姑八大姨,关心人生的时候了,前几天我朋友跟我说,她过年最害怕的竟然是,她家人逼着她去相亲,每次相亲就像在提醒她,你到年龄了,应该去结婚了,但结婚是我们该有的幸福,而并不是我们必须要完成的任务,《单独中的洞见》,有这样一句话,婚姻是一张可以在显微镜下,观看爱情的门票,但票价是昂贵的,我们这一生,可能只爱一个人,也可能爱过很多的人,但面对婚姻的肘候,一定要等到那个,能给你幸福的人,因为人生有该结婚的爱情,但却不能有该结婚的年龄,毕竟一辈子太长了,嫁给一个错的人,远比单身一辈子要可怕的多,0K我是 Caroline,陪你读人生"
