id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
51,撄宁,597743235,@Sun. 听多了怪吓人的[捂脸]还没遇到过,2020-04-18 11:39:20,0,1,,,,,,,,,
52,吃可爱多长大的,2850424334,@林七🍒 我去,2020-04-18 09:51:19,0,1,,,,,,,,,
53,我再说一遍,1005226483,@望仔 堆在一起的小石头啊，我希望时间的洪流不要把我们冲散，哪怕在途中,2020-04-18 09:50:43,0,0,,,,,,,,,
54,明月皆可遇,2255884274,@idjhs,2020-04-18 09:50:06,0,1,,,,,,,,,
55,华少,2975308999,如果没找到朋友，那就直面孤独！,2020-04-18 09:32:47,3,4,,,,,,,,,
56,粉了一家子,726996240,@木土土,2020-04-18 09:25:58,0,1,,,,,,,,,
57,熏风出入弦,2973790085,@咩~没有名字,2020-04-18 09:09:43,1,0,,,,,,,,,
58,啦啦,592524320,@筑小宁,2020-04-18 08:47:57,0,1,,,,,,,,,
59,Reseda,3528307749,@栖尛,2020-04-18 07:33:19,0,2,,,,,,,,,
60,Adieu,1071999391,男生宿舍不存在这种情况。,2020-04-17 23:24:16,2,1,,,,,,,,,
61,淡,593584878,大学里这种情况是难免的。,2020-04-17 22:53:41,0,0,,,,,,,,,
62,普林希,169184994,@没有心的棉花糖a @一个乐,2020-04-17 22:15:12,0,0,,,,,,,,,
63,良木,2790847998,同类,2020-04-17 20:40:42,0,0,,,,,,,,,
64,王焕 傑❤,22397712,@山山而川,2020-04-17 20:36:54,0,0,,,,,,,,,
65,Fairy,83184461,@甜甜的童话 看看看,2020-04-17 20:23:45,1,0,,,,,,,,,
66,氵薇彡,2950283603,@明仇.,2020-04-17 20:19:12,0,1,,,,,,,,,
67,曼曼慢慢💫,1044225134,@酱紫💕 好好看看,2020-04-17 19:22:41,0,1,,,,,,,,,
68,.,60532267,@昕昕 @小邢同学 @小吴阿姨 友友们好[玫瑰][玫瑰][玫瑰][比心][比心][比心][嘴唇][嘴唇][爱心],2020-04-17 19:20:12,3,2,,,,,,,,,
69,我家大男孩,2829588464,没有人回应 真的就会慢慢不说话了,2020-04-17 19:07:59,0,0,,,,,,,,,
70,哈哈哈吃胖了,206651666,太喜欢《你好，旧时光》，很喜欢八月长安的风格。[赞],2020-04-17 18:58:10,3,1,,,,,,,,,
71,射手🌸女孩,2349440717,世界那么大，不要局限,2020-04-17 18:39:32,1,0,,,,,,,,,
72,啊哈哈,1002460843,@2177946379 [思考],2020-04-17 18:38:30,1,0,,,,,,,,,
73,彼岸花开,983480465,Nice,2020-04-17 16:56:44,0,0,,,,,,,,,
74,@周憨憨,2815151543,真实,2020-04-17 16:44:11,1,0,,,,,,,,,
75,肖恩,386288182,志不相投，不必强合。,2020-04-17 16:36:39,5,0,,,,,,,,,
76,墨,25282887,@自渡 康康,2020-04-17 16:17:31,0,0,,,,,,,,,
77,夜灵,343769555,原来我是被筛走的那一批,2020-04-17 16:04:15,0,0,,,,,,,,,
78,pineapple,1139908326,@将暮未暮 @莎瓦迪卡 当然可以啦,2020-04-17 14:59:33,1,0,,,,,,,,,
79,苏沂,1128920146,真的是，同类才有话说，才有痛苦可以分享。不然就跟对牛弹琴一样,2020-04-17 13:42:05,1,0,,,,,,,,,
80,念青,886613846,@伈芷&偌氷,2020-04-17 12:42:54,1,0,,,,,,,,,
81,LXZ,1002745642,@🕊✨,2020-04-17 11:44:59,2,0,,,,,,,,,
82,悦读天下好书,3016518210,有缘千里来相会[看],2020-04-17 11:23:10,2,0,,,,,,,,,
83,ヤ潦草青春ゞ,88555347,@我是张半仙¡,2020-04-17 07:48:20,2,0,,,,,,,,,
84,52赫兹,1800840103,室友就算了吧,2020-04-17 07:13:26,2,0,,,,,,,,,
85,Bamboo,2831618414,大学的时候，寝室的，隔壁寝室的，对面寝室的，都是好基友，即使当时可能有些矛盾，毕业后，当我们再次见面，一定是熟悉，而喜悦,2020-04-17 00:40:09,4,0,,,,,,,,,
86,宋,956970545,可以有der,2020-04-16 23:57:56,2,0,,,,,,,,,
87,沙发土豆^_^,1545019094,@leego [耶][耶]朋友是自己选择的家人,2020-04-16 23:08:38,1,0,,,,,,,,,
88,🌾小风波,333628608,@贝壳女孩 如果我的室友是清北复交名流985 学都可以不上，但是没有如果,2020-04-16 22:31:33,1,1,,,,,,,,,
89,弦子和乐乐☀,1097380010,我觉得有时一个人也挺好的，虽然孤独,2020-04-16 22:01:48,4,1,,,,,,,,,
90,黑咖啡呀～,1292104484,没必要说必须和室友做朋友，除了宿舍之外，还有更广的天地。别人能和你成为朋友，不是因为她是你的室友，而是因为你们志同道合,2020-04-16 21:08:31,2,0,,,,,,,,,
91,魔鬼,3440324133,女生处的好是《欢乐颂》处不好那就是《甄嬛传》[微笑],2020-04-16 21:01:19,28,0,,,,,,,,,
92,樱桃小丸子🌈,2065749715,@中分哥哥,2020-04-16 19:51:10,2,2,,,,,,,,,
93,是战战呀♕,1124498038,不@你了，即使不在一起，我想我们某一天在一个转角遇见，我肯定很高兴，即使[泣不成声]我们已经多年未见,2020-04-16 19:44:26,2,1,,,,,,,,,
94,胡蝶,1992160457,高中就这样了,2020-04-16 18:45:41,2,0,,,,,,,,,
95,仙女味的猫,58774714,你不能选择你的室友，但是你可以选择自己的朋友和社交圈,2020-04-16 18:35:22,1,0,,,,,,,,,
96,汐诺在努力呀,1887602413,@毅拧,2020-04-16 18:31:59,1,0,,,,,,,,,
97,Cinderalle🎐,628038033,大学毕业快一年了，群里依然热闹，我们几乎天天说话，没有回复也不会尴尬[调皮],2020-04-16 18:17:06,3,0,,,,,,,,,
98,一只猫九块钱。,131006529,@快快乐乐的小笨蛋 [震惊],2020-04-16 18:10:00,1,0,,,,,,,,,
99,阿闪的小棉袄,1655876377,哇哦，太棒了[鼓掌][鼓掌]又购一本精神粮食[鼓掌],2020-04-16 17:09:26,2,0,,,,,,,,,
100,安俊森的亦辰呀,2003427933,我私信你了,2020-04-16 16:21:44,2,0,,,,,,,,,
101,彦之有伱,1788429999,世界上只有同类才能做朋友，志不同道不合的人往往只能在某个猎奇的时间段里做一阵开心的同伴。被时间的洪水淘过，最终仍然堆在一起的，一定是同样材质的石头,2020-04-16 14:58:23,13,0,,,,,,,,,
102,小苹果是驴,2988767379,@巴拉巴拉biu @是翟翟呀 @瑶瑶 @圆宵 遇到一群沙雕？所都能合得来？,2020-04-16 14:40:39,1,0,,,,,,,,,
103,失之莫离,83632905,关注你很久，很喜欢你说的话,2020-04-16 14:36:24,2,0,,,,,,,,,
104,YaQGuaiG,2103568472,@Danri 在我们宿舍 不回应就被打一顿,2020-04-16 12:22:45,1,2,,,,,,,,,
105,小姐姐 海玲,215008318,喜欢你的视频,2020-04-16 08:57:15,2,0,,,,,,,,,
106,一指流沙,1825701765,从高中到大学，一个宿舍，都是朋友舍友，[大笑],2020-04-16 08:27:17,2,0,,,,,,,,,
107,柠萌初水,2170405950,姐姐好优雅啊[呲牙],2020-04-16 07:55:57,3,0,,,,,,,,,
108,且行且珍惜。,58285207,行有不得反求诸己,2020-04-16 07:21:34,1,1,,,,,,,,,
109,猫腻,91633771,@归安,2020-04-16 03:34:07,1,0,,,,,,,,,
110,💎⛓⛓⛓⛓玉兔🐇,110171889,对头,2020-04-16 00:14:38,1,0,,,,,,,,,
111,416,1157153140,@（ ’ - ’ * ) 我希望你不会这样，因为你也是我精挑细选的[送心],2020-04-16 00:07:35,2,0,,,,,,,,,
112,冰.,154984911,@皮皮 @心语 @李小🐟 @淼淼姐[皱眉][皱眉][皱眉]像我们这样的果然很少,2020-04-15 23:48:34,0,0,,,,,,,,,
113,丹丹.,1188948040,@满月 说的真好,2020-04-15 23:31:27,1,0,,,,,,,,,
114,追剧小姐姐👑,2969496358,有时候室友只是住在一起的人 [玫瑰][玫瑰][玫瑰][玫瑰],2020-04-15 23:10:22,2,0,,,,,,,,,
115,橘浅,3536327736,@咔次咔次,2020-04-15 22:44:55,1,1,,,,,,,,,
116,艺轩小可爱,326038633,@再遇见,2020-04-15 22:38:09,0,0,,,,,,,,,
117,几勺奶酪_,156815607,@Echo,2020-04-15 22:36:46,0,1,,,,,,,,,
118,月亮与六便士,987569179,@五毛李美 还好跟你建立了,2020-04-15 22:34:08,0,1,,,,,,,,,
119,陈情0--0,1897696403,说的真好，谢谢你,2020-04-15 22:33:53,4,0,,,,,,,,,
120,魏长泽,2310838737,我和我四个儿子基本上没什么隔阂,2020-04-15 22:10:26,1,0,,,,,,,,,
121,书晗,3490549854,好喜欢八月长安,2020-04-15 21:39:39,1,0,,,,,,,,,
122,九良的正房夫人,2316900598,@_初见 世界这么大，我们就是同类[灵机一动],2020-04-15 21:11:35,0,0,,,,,,,,,
123,孤酒浪子ヾ❀,1158189201,好喜欢你啊,2020-04-15 21:04:01,2,0,,,,,,,,,
124,凡人,1221253984,[666],2020-04-15 20:55:03,0,0,,,,,,,,,
125,简单,1756314218,@_愿意吃香菜 同类的人，精挑细选的朋友[爱心],2020-04-15 20:39:04,0,1,,,,,,,,,
126,故梦,3003454601,被忽略的感觉是真的不太好[捂脸]，但无所谓啦，调整心态,2020-04-15 20:16:29,1,1,,,,,,,,,
127,c,667099657,@野,2020-04-15 20:14:38,1,1,,,,,,,,,
