id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
217,长眠深海的鱼人,2980471088,谁能给我解释一下彩虹群体是什么啊，[捂脸][捂脸][捂脸],2020-04-15 07:06:24,0,0,,,,,,,,,
218,那个人叫大发,184474159,所以，我早已经把所有的真心都给收回了,2020-04-15 06:57:18,0,0,,,,,,,,,
219,同素异形体,142458491,谢谢你,2020-04-15 06:57:17,0,0,,,,,,,,,
220,Precipitation,382371415,不能 室友只是按顺序安排的 并不是真正的三观统一的人,2020-04-15 06:46:43,0,0,,,,,,,,,
221,治愈电台安慕曦,3624358343,我也想与他们做朋友 可是我不打王者,2020-04-15 06:40:13,1,0,,,,,,,,,
222,小荣女,3608172070,你好,2020-04-15 06:30:57,0,0,,,,,,,,,
223,伏羲女娲图,2847092186,不能，要么是对手，要么是情敌,2020-04-15 02:49:14,1,0,,,,,,,,,
224,泽泽啧,45161058,@mayoi 推荐收听她[泣不成声]我超喜欢,2020-04-15 02:39:34,0,0,,,,,,,,,
225,幻梦,711651360,唉，虽然我自己也这么认为，也让自己这么想。但是真的挺讨厌孤独的。,2020-04-15 02:22:39,0,0,,,,,,,,,
226,MT,134200205,晚安,2020-04-15 02:13:01,0,0,,,,,,,,,
227,黑夜问白天,951495701,何必在自己不喜欢的人身上浪费时间，室友处不来还有班里其他同学，班里其他同学处不来还有别的班的，这你也找不出一个能好好相处的，多想想自己的问题吧[微笑],2020-04-15 01:40:45,1,0,,,,,,,,,
228,e,2297794257,朋友不求多，知己一两足已,2020-04-15 01:34:50,1,0,,,,,,,,,
229,难度安,825727031,同学就是同学，没法深交成朋友，高中根本没交到朋友,2020-04-15 01:34:28,2,0,,,,,,,,,
230,姜老全,115740260,@小夏夏,2020-04-15 01:31:00,0,0,,,,,,,,,
231,用户3254374632183,2946887234,[666],2020-04-15 01:11:51,3,0,,,,,,,,,
232,小鱼村 添,81960612,每晚都要听你讲课 才会睡。晚安,2020-04-15 01:07:52,0,0,,,,,,,,,
233,洋咩咩的迷妹,336740748,晚安！,2020-04-15 01:06:47,0,0,,,,,,,,,
234,静芳伊人,277606099,还没开学呢 不能形容心情如何[泪奔],2020-04-15 01:05:10,0,0,,,,,,,,,
235,FANG,169269334,大学真没油,2020-04-15 01:03:36,0,0,,,,,,,,,
236,月寒的晴砸,1130752209,[捂脸][捂脸],2020-04-15 00:59:36,0,0,,,,,,,,,
237,深蓝,1697446438,年年有余而周周有余,2020-04-15 00:56:56,1,0,,,,,,,,,
238,froth🍀,1306216377,可以,2020-04-15 00:52:13,0,0,,,,,,,,,
239,Soso凯莉,82721767,@宝藏女孩W @熊猫。 @💎⛓⛓⛓⛓玉兔🐇 同事是随机分配得，朋友是精挑细选的,2020-04-15 00:46:22,0,0,,,,,,,,,
240,锦瑟,2329623495,在一个班级里，感觉我好“另类”不一样，哎，怎么办[流泪],2020-04-15 00:38:58,2,1,,,,,,,,,
241,大壳粉,1272117470,学到了,2020-04-15 00:29:37,0,0,,,,,,,,,
242,春风淳如酒,2808365855,只能说有可能[微笑][微笑][微笑]，男生寝室也一样,2020-04-15 00:28:22,0,0,,,,,,,,,
243,热AI,2351098479,毕竟世界这么大,2020-04-15 00:25:00,1,0,,,,,,,,,
244,可口鸭,903928938,真的融不进去就不要融，别因为她们梳理你，你觉得孤单而去刻意讨好，这样受伤的只会是自己,2020-04-15 00:18:30,3,0,,,,,,,,,
245,小安琪🐯,1530046332,我也是，每次说话，都没有回应[泣不成声][泣不成声],2020-04-15 00:16:03,2,0,,,,,,,,,
246,棽,95107413,@只想为你发光♥ 我们寝室就是这样子[微笑],2020-04-15 00:13:57,1,7,,,,,,,,,
247,beauty,291655623,@妹妹 你也是我精挑细选的哈哈哈哈,2020-04-15 00:09:07,0,0,,,,,,,,,
248,ぃ火星尐孩ぅ,2328528518,@屁屁✨柒✨ @故筱尘 我们就是同样材质的石头，石头，你们好[憨笑],2020-04-15 00:05:27,0,2,,,,,,,,,
249,沫姑娘,2258139685,我今天刚好想起这段话，没想到现在就听到你的分享了。所以，物以类聚人以群分。,2020-04-15 00:05:20,0,0,,,,,,,,,
250,董咚洞,2823349281,@李戈,2020-04-15 00:01:46,0,0,,,,,,,,,
251,CZ,150697182,@Rebecca🤟🤟🤟,2020-04-15 00:00:07,0,2,,,,,,,,,
252,枳.,2367888020,@辞. 你，就是我精挑细选的,2020-04-14 23:59:39,1,2,,,,,,,,,
253,是彭彭耶,353170506,晚安[送心],2020-04-14 23:59:30,0,0,,,,,,,,,
254,成都,77203196,@⚝一安,2020-04-14 23:58:25,0,1,,,,,,,,,
255,Rebirth_YS,4582918,同类,2020-04-14 23:56:11,0,0,,,,,,,,,
256,QQ糖,180762343,🙉,2020-04-14 23:54:54,0,0,,,,,,,,,
257,野鹤,2836157258,@绮里🕊️ 看后半段,2020-04-14 23:51:21,1,0,,,,,,,,,
258,雪莲,2185766109,对的对的，时间那么大，为什么要把自己关在寝室里，外面的世界真的很美好,2020-04-14 23:51:07,2,0,,,,,,,,,
259,白糖,2076367170,你好旧时光，林杨余周周[飞吻],2020-04-14 23:50:24,9,0,,,,,,,,,
260,小赵赵☁,2310900955,当然可以，我想说我遇到了好室友无可代替的,2020-04-14 23:47:51,2,0,,,,,,,,,
261,林深时见鹿丶,1557443382,晚安,2020-04-14 23:46:37,0,0,,,,,,,,,
262,鳖鳖大神。,1628368027,林杨,2020-04-14 23:43:13,2,0,,,,,,,,,
263,海绵宝宝派大星1314,707855969,@橘猫追着鸵鸟跑 完了，怕我是和你一样沙雕的小石头了,2020-04-14 23:42:42,0,1,,,,,,,,,
264,无边,2948943358,姐姐，我觉得你说得每个视频都说得很好[赞],2020-04-14 23:38:57,0,0,,,,,,,,,
265,双鱼男,838010449,同学和同事没得选，朋友是有的选择的。,2020-04-14 23:36:08,0,0,,,,,,,,,
266,LAA-LAA,2358306975,是的，三观是否一样真的很重要,2020-04-14 23:34:44,1,0,,,,,,,,,
267,💖j✨u✨l✨i✨a💕💞,2797281747,愿每个人都能遇到那个，知道你的缺点和不足，依然不会离你而去[比心],2020-04-14 23:30:53,0,0,,,,,,,,,
268,舟,1192499264,我是习惯了和她们说话没有回应,2020-04-14 23:29:19,1,0,,,,,,,,,
269,皖璃童,2363988678,好有道理[强][强],2020-04-14 23:28:27,1,0,,,,,,,,,
270,是仙女啊～,246108933,@婷哥🌼 @四月 @辛星星的辛 @嗯哼 @傻傻🙈傻瓜 说明我们有多么幸运🌝,2020-04-14 23:22:19,2,2,,,,,,,,,
271,Loyal1996,3554902284,道不同不相为谋，看着别人脸色才能成为的朋友和爱情里的舔狗有什么区别，朋友这东西和爱人一样，宁缺毋滥，一辈子好几十年没必要为了这所谓的四年的友谊委屈自己,2020-04-14 23:17:04,2,0,,,,,,,,,
272,☆樱花草☆。。。,614000207,真的有些失望了,2020-04-14 23:16:37,2,0,,,,,,,,,
273,沐光,2363882532,@流浪,2020-04-14 23:12:07,0,0,,,,,,,,,
274,沐光,2363882532,@裕宝,2020-04-14 23:11:58,0,0,,,,,,,,,
275,沐光,2363882532,@阿离 @氤氲✨✨ 小石头们,2020-04-14 23:10:42,1,1,,,,,,,,,
276,世界顶级宠儿,3068391645,@鹿安安🦌,2020-04-14 23:10:17,0,0,,,,,,,,,
277,世界顶级宠儿,3068391645,@Weirdo,2020-04-14 23:10:13,0,1,,,,,,,,,
278,自带幸运色的仙女,84431829,@长腿叔叔 女人,2020-04-14 23:09:01,1,3,,,,,,,,,
279,小滕官宣女友,583441757,这就是一直困扰我的问题，豁然开朗？哈哈哈哈,2020-04-14 23:06:46,0,0,,,,,,,,,
280,ekowen,2332469628,晚安,2020-04-14 23:06:16,1,0,,,,,,,,,
281,尘梦,1176093175,只要你这个石头够大，什么东西都给你拦下,2020-04-14 23:05:44,0,0,,,,,,,,,
282,花忆,1658934824,说的很对，如果太在意别人的眼光，就会迷失自己,2020-04-14 23:03:01,0,0,,,,,,,,,
283,Xz泽漆1991（唯粉）,2364306261,晚安[爱心],2020-04-14 23:01:27,0,0,,,,,,,,,
284,清行,2808846876,我真是太幸运了遇到你们@Sq @与昨 @顾灼 爱你们,2020-04-14 22:58:52,1,1,,,,,,,,,
285,BJTLX,956503586,所以很幸运在宿舍遇到了一个志同道合的朋友[泣不成声][泣不成声]@missing,2020-04-14 22:57:24,0,2,,,,,,,,,
286,墨宇,1201811889,@野然 @沙了个雕,2020-04-14 22:55:38,0,2,,,,,,,,,
287,╰☆╮森♂№※,2315715497,你的睡前故事真好，好喜欢你的声音[送心][送心][送心][玫瑰][玫瑰],2020-04-14 22:54:22,0,0,,,,,,,,,
288,疯人愿,2849458007,有些人可以无忧无虑地交往，但大多数人是有利益关系才会和你往来的，要带点防人的心,2020-04-14 22:51:47,1,1,,,,,,,,,
289,让我婧婧,777085507,并不是所有相处的人，都能称之为朋友[泣不成声],2020-04-14 22:49:13,1,0,,,,,,,,,
290,糕儿.,3500415565,晚安,2020-04-14 22:46:46,0,0,,,,,,,,,
291,贰贰的7,2807766962,晚安,2020-04-14 22:45:38,0,0,,,,,,,,,
292,qn,618159006,同类的标准有很多，不同类的标准也有很多,2020-04-14 22:42:55,0,0,,,,,,,,,
293,五姨家大少爷,206048625,其实“朋友”是很贵的，有的时候就连家人就不是朋友，更何况舍友喽[微笑],2020-04-14 22:42:22,0,0,,,,,,,,,
294,落奕,380644560,振华中学三部曲，超爱,2020-04-14 22:42:18,3,0,,,,,,,,,
295,易小爷吖,893404478,就像大张伟老师说的那样，挤不进的世界不要硬挤，难为了别人伤害了自己。,2020-04-14 22:39:00,0,0,,,,,,,,,
296,呼噜呼噜呼,1207402891,给一个朋友借了钱说下月还，一年后微信不回复，电话还拉黑……自己精挑细选的朋友，自己来承受！,2020-04-14 22:38:08,0,0,,,,,,,,,
297,bmzg,602456116,@🌸 想不想我们的寝室,2020-04-14 22:37:48,0,1,,,,,,,,,
298,刘老师呀,2938836361,在网易云有电台吗？,2020-04-14 22:36:27,0,0,,,,,,,,,
299,有何不可,2964810705,[情书],2020-04-14 22:33:06,2,0,,,,,,,,,
300,星辰✨,58712266,怀念高考的那个夏天，在忙碌的备考中，偷偷在办公室一起庆祝生日，抱着生日蛋糕，许生日愿望[捂脸],2020-04-14 22:31:58,3,0,,,,,,,,,
301,Bla,955199900,[玫瑰],2020-04-14 22:26:07,0,0,,,,,,,,,
302,范范呀,281927081,晚安[玫瑰],2020-04-14 22:22:21,0,0,,,,,,,,,
303,Ibrown·Vass,1345441296,@美丽的艾米娜呀,2020-04-14 22:17:49,0,1,,,,,,,,,
304,啦啦啦欧尼,847587788,不要总是想着去努力融入别人，或者团队。做自己，保持善良，慢慢的就好了。,2020-04-14 22:05:49,1,0,,,,,,,,,
305,我会听话,1896614090,好怀念那时候的时光，第一次在学校过生日，舍友们偷偷的下了早自习，推开宿舍门的那一刻………一辈子都忘不掉[快哭了],2020-04-14 22:05:33,9,0,,,,,,,,,
306,往后余生,1841132822,[赞],2020-04-14 21:46:19,0,0,,,,,,,,,
307,薄月1,117491472,我也是这种情况，真的很难受，但好像人家都习惯那种方式，我就觉得是不是自己太敏感了,2020-04-14 21:44:20,8,0,,,,,,,,,
308,玺欢,2324249927,好久不更了[看],2020-04-14 21:40:29,1,0,,,,,,,,,
309,紫苏,3420243529,都不让[捂脸]下载,2020-04-14 21:35:43,0,0,,,,,,,,,
310,木子,266563628,@猪啦啦 @陈情ˇ 大学室友能成为好朋友吗,2020-04-14 21:33:51,0,7,,,,,,,,,
311,云生.,3631622443,姐姐你好好看[泣不成声],2020-04-14 21:31:06,2,0,,,,,,,,,
312,星韵月清,3576508890,我就慢慢地听你的视频，改变自己的三观[呲牙],2020-04-14 21:31:05,1,0,,,,,,,,,
313,草莓呀😁,171577408,曾经的我也是这样，特别在意其他小的感受，总想着让别人喜欢我，再加上我很自卑，也不敢有太多话,2020-04-14 21:30:22,3,1,,,,,,,,,
314,水中明月,778401504,别人说高中同学是最真挚的朋友，你同意吗,2020-04-14 21:29:41,0,5,,,,,,,,,
315,是天现宝宝!,57709740,@血羽凝,2020-04-14 21:29:41,0,2,,,,,,,,,
316,路一航,852064092,人与人在一起久了，自然而然会产生间隙。这就是我们修仙人说的规则[看],2020-04-14 21:26:20,1,0,,,,,,,,,
317,时辰,577990137,我曾经以为身边的室友可以是好朋友，但我发现她一起笑成傻子的人不再是我之后我就发现一切都是我的一厢情愿,2020-04-14 21:23:27,1,0,,,,,,,,,
318,你家丫头,3040228657,室友也只是室友而已,2020-04-14 21:20:40,8,3,,,,,,,,,
319,莫莫,81432581,千金易得，知音难求。,2020-04-14 21:17:20,1,0,,,,,,,,,
320,@夏末💋,290185627,但有很多人想要跟你成为朋友才想要变成你的同类,2020-04-14 21:14:08,1,0,,,,,,,,,
321,满天星⭐满眼都是吴磊💓💓,369980818,能做朋友就做朋友，如果不能，那就做同学！[微笑],2020-04-14 21:12:07,1,0,,,,,,,,,
322,Serendipity,343773989,@超棒的 我们要做自己,2020-04-14 21:11:59,0,0,,,,,,,,,
323,掌阅读书（周四20点直播）,2322460889,要等一位真正的好朋友[送心],2020-04-14 21:10:56,177,3,,,,,,,,,
324,往昔,2107759531,可以,2020-04-14 21:10:32,0,0,,,,,,,,,
325,想读懂你,1336730799,[比心],2020-04-14 21:10:18,0,0,,,,,,,,,
326,不知名运营,351530979,[一起加油][一起加油][一起加油][一起加油][一起加油][一起加油][一起加油][一起加油][一起加油][一起加油],2020-04-14 21:08:21,0,0,,,,,,,,,
327,九ྀི尘ྀིೄ೨,969018097,咯,2020-04-14 21:07:05,0,0,,,,,,,,,
328,你是人间四月天,2800680425,很喜欢你，你的声音让我觉得很温暖！[微笑][微笑],2020-04-14 21:06:03,0,0,,,,,,,,,
329,喜上眉梢,3562095043,我希望大学生活可以过的开心一点,2020-04-14 21:04:08,0,0,,,,,,,,,
330,半块面包🍞,2192073017,我真的每次等你的视频，因为好想听一句“晚安”。[流泪][流泪],2020-04-14 21:03:47,81,4,,,,,,,,,
331,大艺术家阿明,3431290064,道不同不相为谋，每个人都有自己的圈子，即使有交集，也仅仅是一点点交集。,2020-04-14 21:03:38,0,0,,,,,,,,,
332,心酸✔像酒,1558985171,你好，旧时光。,2020-04-14 21:03:20,0,0,,,,,,,,,
333,🎃甜,79871215,听起来像我一个朋友哒经历[绝望的凝视][绝望的凝视][绝望的凝视],2020-04-14 21:01:59,0,0,,,,,,,,,
334,Eyshine的阅读时光,1477425184,同事，室友都不一定能成为朋友。,2020-04-14 21:01:06,0,0,,,,,,,,,
335,固执啊小草,2813024631,大学里换了三次寝室，基本上每个寝室都有几个朋友的,2020-04-14 20:59:43,0,0,,,,,,,,,
336,0725号宇航员,2842253481,@小白沁叶,2020-04-14 20:59:11,0,0,,,,,,,,,
337,南筝,2964836153,室友就是室友，不是朋友。大学四年我都是一个人吃饭 上课，可能别人看起来很孤独，自己觉得舒适就好[呲牙],2020-04-14 20:58:49,1,0,,,,,,,,,
338,十二月,2848541448,现在的我也面临这种情况，我想真的要学会“一个人”了，或许长大的必须课之一就是独立吧,2020-04-14 20:58:20,0,0,,,,,,,,,
339,小杜最快乐,1832133946,温柔一定要给对的人啊,2020-04-14 20:56:42,1,0,,,,,,,,,
340,玖殿下,1789446051,朋友是在一起时能让你做回真正的自己的人,2020-04-14 20:56:30,2,0,,,,,,,,,
341,十顾,97681842,每天都有听,2020-04-14 20:56:27,2,0,,,,,,,,,
342,陌生人,392536209,太容易相信人，也是容易受伤,2020-04-14 20:56:22,3,0,,,,,,,,,
343,可可爱爱,1830361155,￼￼可以多出去走走，当你感到很孤独的时候，你就想象一下，在宇宙那么浩瀚的星空中，有行星在默默地旋转，有恒星在孤独地发光。每个人最终都会单独上路，没有人能陪你一辈子。￼,2020-04-14 20:56:11,5,0,,,,,,,,,
344,慕容公子,1379325373,与其迎合他人，不如真心找到一个可以和你作为好朋友的人,2020-04-14 20:54:33,1,0,,,,,,,,,
345,路人甲,1031383969,道不同不相为谋,2020-04-14 20:53:59,0,0,,,,,,,,,
346,🐷🐷馨,337641496,能有朋友是件好事，没有就面子活的去吧,2020-04-14 20:53:58,0,0,,,,,,,,,
347,用户8844393568159,2320190112,哇哦，我关注你好久了，好喜欢好喜欢你呢。每天睡之前都要听你的更新，加油加油！[玫瑰]晚安,2020-04-14 20:53:03,24,1,,,,,,,,,
348,简单快乐,346010868,第一[灵机一动],2020-04-14 20:51:57,4,1,,,,,,,,,
